
1939	腊月廿八
1941	正月初九
1941	腊月十九
1943	正月初一
1944	正月十二
1944	腊月廿二
1946	正月初三
1947	正月十五
1947	腊月廿六
1949	正月初七
1949	腊月十八
1950	腊月廿八
1952	正月初十
1952	腊月廿一
1954	正月初二
1955	正月十二
1955	腊月廿四
1957	正月初五
1957	腊月十六
1958	腊月廿七
1960	正月初九
1960	腊月十九
1961	腊月三十
1963	正月十一
1963	腊月廿二
1965	正月初三
1966	正月十五
1966	腊月廿五
1968	正月初七
1968	腊月十八
1969	腊月廿八
1971	正月初九
1971	腊月廿一
1973	正月初二
1974	正月十三
1974	腊月廿四
1976	正月初六
1976	腊月十七
1977	腊月廿七
1979	正月初八
1979	腊月十九
1980	腊月三十
1982	正月十一
1982	腊月廿二
1984	正月初三
1984	腊月十五
1985	腊月廿六
1987	正月初七
1987	腊月十七
1988	腊月廿八
1990	正月初九
1990	腊月二十
1992	正月初一
1993	正月十三
1993	腊月廿四
1995	正月初五
1995	腊月十六
1996	腊月廿七
1998	正月初八
1998	腊月十九
1999	腊月廿八
2001	正月十二
2001	腊月廿三
2003	正月初四
2004	正月十四
2004	腊月廿六
2006	正月初七
2006	腊月十七
2007	腊月廿八
2009	正月初十
2009	腊月廿一
2011	正月初二
2012	正月十三
2012	腊月廿四
2014	正月初五
2014	腊月十六
2015	腊月廿六
2017	正月初七
2017	腊月十九
2018	腊月三十
2020	正月十一
2020	腊月廿二
2022	正月初四
2023	正月十四
2023	腊月廿五
2025	正月初六
2025	腊月十七
2026	腊月廿八
2028	正月初十
2028	腊月二十
2030	正月初二
2031	正月十三
2031	腊月廿三
2033	正月初四
2033	腊月十六
2034	腊月廿七
2036	正月初八
2036	腊月十九
2038	正月初一
2039	正月十二
2039	腊月廿二
